Race_ID,Race_Name,Finish_Position_Raw,Finish_Position,Horse_No,Horse_Name,Canonical_Horse_Identity,Frame_No,Sex_Age,Carried_Weight,Jockey,Finish_Time,Margin,Passing_Order,Last3F,Body_Weight,Trainer,Source_URL
202501010811,第61回札幌記念(GII),10,10,4,コスモキュランダ,202501010811|4|コスモキュランダ,2,牡4,58,丹内祐次,2:02.6,1.1/2,12-13-13-13,36.1,498(-6),[東] 加藤士津,https://db.netkeiba.com/race/202501010811/
202501010811,第61回札幌記念(GII),11,11,12,アルナシーム,202501010811|12|アルナシーム,6,牡6,58,藤岡佑介,2:02.6,アタマ,9-9-10-9,36.7,448(-4),[西] 橋口慎介,https://db.netkeiba.com/race/202501010811/
202501010811,第61回札幌記念(GII),12,12,7,ハヤテノフクノスケ,202501010811|7|ハヤテノフクノスケ,4,牡4,58,横山和生,2:02.7,クビ,6-5-3-3,37.5,534(+2),[西] 中村直也,https://db.netkeiba.com/race/202501010811/
202501010811,第61回札幌記念(GII),13,13,13,アウスヴァール,202501010811|13|アウスヴァール,7,セ7,58,古川吉洋,2:03.0,1.3/4,1-1-1-2,38.4,488(+2),[西] 昆貢,https://db.netkeiba.com/race/202501010811/
202501010811,第61回札幌記念(GII),14,14,16,シュヴァリエローズ,202501010811|16|シュヴァリエローズ,8,牡7,58,武豊,2:03.3,1.3/4,16-14-14-16,36.6,462(-4),[西] 清水久詞,https://db.netkeiba.com/race/202501010811/
202501010811,第61回札幌記念(GII),15,15,8,ステレンボッシュ,202501010811|8|ステレンボッシュ,4,牝4,56,池添謙一,2:03.4,3/4,7-7-8-7,37.7,472(+4),[東] 国枝栄,https://db.netkeiba.com/race/202501010811/
202501010811,第61回札幌記念(GII),16,16,11,ショウナンアデイブ,202501010811|11|ショウナンアデイブ,6,牡6,58,荻野琢真,2:05.5,大,4-4-6-13,40.0,516(+4),[西] 高野友和,https://db.netkeiba.com/race/202501010811/
202505040211,第76回毎日王冠(GII),1,1,9,レーベンスティール,202505040211|9|レーベンスティール,7,牡5,57,津村明秀,1:44.0,,3-3-3,33.3,484(0),[東] 田中博康,https://db.netkeiba.com/race/202505040211/
202505040211,第76回毎日王冠(GII),2,2,8,ホウオウビスケッツ,202505040211|8|ホウオウビスケッツ,7,牡5,57,岩田康誠,1:44.1,1/2,1-1-1,33.8,508(-6),[東] 奥村武,https://db.netkeiba.com/race/202505040211/
202505040211,第76回毎日王冠(GII),3,3,10,サトノシャイニング,202505040211|10|サトノシャイニング,8,牡3,55,武豊,1:44.2,3/4,2-2-2,33.7,498(+2),[西] 杉山晴紀,https://db.netkeiba.com/race/202505040211/
202505040211,第76回毎日王冠(GII),4,4,3,ディマイザキッド,202505040211|3|ディマイザキッド,3,牡4,57,岩田望来,1:44.4,1.1/2,10-10-9,33.2,464(+4),[東] 清水英克,https://db.netkeiba.com/race/202505040211/
202505040211,第76回毎日王冠(GII),5,5,2,エルトンバローズ,202505040211|2|エルトンバローズ,2,牡5,57,西村淳也,1:44.5,1/2,5-3-3,33.8,516(-4),[西] 杉山晴紀,https://db.netkeiba.com/race/202505040211/
202505040211,第76回毎日王冠(GII),6,6,5,ジェイパームス,202505040211|5|ジェイパームス,5,セ5,57,佐々木大,1:44.6,3/4,7-6-6,33.6,510(0),[東] 堀宣行,https://db.netkeiba.com/race/202505040211/
